what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471098388580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1471098397386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471098398845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1471098411712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471098413102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1471098414372
activated,view,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.terminal.local.localTerminalView",1471098415991
activated,view,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.terminal.local.localTerminalView",1471098421352
activated,view,com.google.eclipse.elt.view,1.1.2.201411270007,"com.google.eclipse.terminal.local.localTerminalView",1471098431191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098554451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098561908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098570323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098571588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098577895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098584116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098588092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098596391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098598422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098603191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098608116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098615745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098617529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098618763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098619103
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471098619316
